"","state","state_name","year","sce","shares","category"
"423","TN","Tennessee",2011,"Historical",0.06112932,"d3"
"424","TN","Tennessee",2011,"Historical",0.07119198,"d4"
"425","TN","Tennessee",2011,"Historical",0.081258,"d5"
"426","TN","Tennessee",2011,"Historical",0.09227352,"d6"
"427","TN","Tennessee",2011,"Historical",0.1053308,"d7"
"428","TN","Tennessee",2011,"Historical",0.1223743,"d8"
"429","TN","Tennessee",2011,"Historical",0.1486341,"d9"
"430","TN","Tennessee",2011,"Historical",0.2358256,"d10"
"431","TX","Texas",2011,"Historical",0.030157,"d1"
"432","TX","Texas",2011,"Historical",0.04769351,"d2"
"433","TX","Texas",2011,"Historical",0.05885315,"d3"
"434","TX","Texas",2011,"Historical",0.06890699,"d4"
"435","TX","Texas",2011,"Historical",0.07906746,"d5"
"436","TX","Texas",2011,"Historical",0.0902928,"d6"
"437","TX","Texas",2011,"Historical",0.1037605,"d7"
"438","TX","Texas",2011,"Historical",0.1215864,"d8"
"439","TX","Texas",2011,"Historical",0.1496148,"d9"
"440","TX","Texas",2011,"Historical",0.2498063,"d10"
"441","UT","Utah",2011,"Historical",0.03379904,"d1"
"442","UT","Utah",2011,"Historical",0.05254423,"d2"
"443","UT","Utah",2011,"Historical",0.06404245,"d3"
"444","UT","Utah",2011,"Historical",0.07411638,"d4"
"445","UT","Utah",2011,"Historical",0.08406153,"d5"
"446","UT","Utah",2011,"Historical",0.09480851,"d6"
"447","UT","Utah",2011,"Historical",0.1073404,"d7"
"448","UT","Utah",2011,"Historical",0.1233827,"d8"
"449","UT","Utah",2011,"Historical",0.147379,"d9"
"450","UT","Utah",2011,"Historical",0.2179325,"d10"
"451","VA","Virginia",2011,"Historical",0.02977537,"d1"
"452","VA","Virginia",2011,"Historical",0.04718523,"d2"
"453","VA","Virginia",2011,"Historical",0.05830939,"d3"
"454","VA","Virginia",2011,"Historical",0.06836113,"d4"
"455","VA","Virginia",2011,"Historical",0.07854416,"d5"
"456","VA","Virginia",2011,"Historical",0.08981963,"d6"
