Source: State of Alaska Geoportal - https://gis.data.alaska.gov/maps/e08c3faedf7842b382f415511402d9d1,,,,,,,,,,
X,Y,OBJECTID,CommunityName,EntityName,ReportingSeason,ReportingDate,ReportingPeriod,ReportingYear,HFRetailGal,AsOfDate
-161.2299805,60.9074707,153,Akiak,Kokarmiut Corporation,Summer,2014/07/15 09:00:00+00,July,2014,6.85,2019/02/06 09:00:00+00
-151.7357788,68.14190674,154,Anaktuvuk Pass,Nunamiut Corporation,Summer,2014/07/15 09:00:00+00,July,2014,1.55,2019/02/06 09:00:00+00
-149.1907959,64.34350586,155,Anderson,Nenana Heating,Summer,2014/07/15 09:00:00+00,July,2014,4.5,2019/02/06 09:00:00+00
-157.4235229,70.4821167,156,Atqasuk,North Slope Borough,Summer,2014/07/15 09:00:00+00,July,2014,1.4,2019/02/06 09:00:00+00
-145.7601929,60.54412842,157,Cordova,Hovers Mover,Summer,2014/07/15 09:00:00+00,July,2014,4.36,2019/02/06 09:00:00+00
-133.151001,55.47607422,158,Craig,Petro Marine,Summer,2014/07/15 09:00:00+00,July,2014,4.09,2019/02/06 09:00:00+00
-141.2075806,64.78887939,159,Eagle,Telegraph Hill Services,Summer,2014/07/15 09:00:00+00,July,2014,4.55,2019/02/06 09:00:00+00
-163.0366821,64.54248047,160,Golovin,Golovin Public Utilities,Summer,2014/07/15 09:00:00+00,July,2014,6,2019/02/06 09:00:00+00
-161.5822754,59.11828613,161,Goodnews Bay,Mumtram Pikkai Village Corporation,Summer,2014/07/15 09:00:00+00,July,2014,5.44,2019/02/06 09:00:00+00
-160.0656128,62.90649414,162,Grayling,HYL Grayling Fuel Company,Summer,2014/07/15 09:00:00+00,July,2014,5.75,2019/02/06 09:00:00+00
-135.7390747,58.41333008,163,Gustavus,Gustavus Dray ,Summer,2014/07/15 09:00:00+00,July,2014,5.38,2019/02/06 09:00:00+00
-149.0057983,63.8704834,164,Healy,Fisher Fuel,Summer,2014/07/15 09:00:00+00,July,2014,4.19,2019/02/06 09:00:00+00
-159.7717896,62.19848633,165,Holy Cross,Holy Cross Oil Company,Summer,2014/07/15 09:00:00+00,July,2014,7.15,2019/02/06 09:00:00+00
-151.5319824,59.64727783,166,Homer,Home Run Oil,Summer,2014/07/15 09:00:00+00,July,2014,4.07,2019/02/06 09:00:00+00
-135.4456787,58.10968018,167,Hoonah,Hoonah Trading,Summer,2014/07/15 09:00:00+00,July,2014,4.43,2019/02/06 09:00:00+00
-156.3947144,65.7019043,168,Huslia,Huslia Gas and Oil,Summer,2014/07/15 09:00:00+00,July,2014,7,2019/02/06 09:00:00+00
-133.9448242,56.9744873,169,Kake,Kake Tribal Fuel,Summer,2014/07/15 09:00:00+00,July,2014,5.25,2019/02/06 09:00:00+00
-143.612793,70.12670898,170,Kaktovik,Kaktovik Inupiat Corporation,Summer,2014/07/15 09:00:00+00,July,2014,1.5,2019/02/06 09:00:00+00
-132.383606,56.47052002,171,Wrangell,Petro Marine,Winter,2014/01/15 09:00:00+00,Jan,2014,3.87,2019/02/06 09:00:00+00
-161.2299805,60.9074707,172,Akiak,Kokarmiut Corporation,Summer,2013/07/15 09:00:00+00,July,2013,6.85,2019/02/06 09:00:00+00
-151.7357788,68.14190674,173,Anaktuvuk Pass,Nunamiut Corporation,Summer,2013/07/15 09:00:00+00,July,2013,1.55,2019/02/06 09:00:00+00
