source: https://gis.data.alaska.gov/datasets/fa3ad93528b24f7c9ba298a68c04920d_0/explore,,,
Place,e_Pop_Total,Start_Year,End_Year
Chignik Lake,60,2009,2013
Chignik,101,2009,2013
Chiniak,11,2009,2013
Chisana,0,2009,2013
Chistochina,113,2009,2013
Chitina,61,2009,2013
Chuathbaluk,101,2009,2013
Circle,103,2009,2013
Clam Gulch,117,2009,2013
Clark's Point,84,2009,2013
Coffman Cove,119,2009,2013
Cohoe,1435,2009,2013
Cold Bay,55,2009,2013
Coldfoot,0,2009,2013
College,14025,2009,2013
Cooper Landing,227,2009,2013
Copper Center,379,2009,2013
Cordova,2604,2009,2013
Covenant Life,127,2009,2013
Craig,1301,2009,2013
Crooked Creek,120,2009,2013
Crown Point,95,2009,2013
Deering,97,2009,2013
Delta Junction,932,2009,2013
Deltana,1837,2009,2013
Diamond Ridge,940,2009,2013
Dillingham,2156,2009,2013
Diomede,103,2009,2013
Dot Lake,0,2009,2013
Dot Lake Village,50,2009,2013
Dry Creek,70,2009,2013
Eagle Village,24,2009,2013
Eagle,107,2009,2013
Edna Bay,19,2009,2013
Eek,349,2009,2013
Egegik,55,2009,2013
Eielson AFB,2584,2009,2013
Ekwok,139,2009,2013
Elfin Cove,37,2009,2013
Elim,358,2009,2013
Emmonak,858,2009,2013
Ester,2867,2009,2013
Eureka Roadhouse,0,2009,2013
Evansville,19,2009,2013
Excursion Inlet,29,2009,2013
Fairbanks,31891,2009,2013
False Pass,15,2009,2013
Farm Loop,1128,2009,2013
Farmers Loop,3682,2009,2013
Ferry,7,2009,2013
